Files already downloaded and verified
Files already downloaded and verified
prune rate 0.5 regularization odecay 1.0
sparsity 106 ====> 52.10% || num_zero/num_total: 445842/855770
valid 106 ====> Acc@1 64.310 Acc@5 96.430
train 107 ====> Acc@1 71.020 Acc@5 97.938
sparsity 107 ====> 52.10% || num_zero/num_total: 445842/855770
valid 107 ====> Acc@1 60.490 Acc@5 95.710
train 108 ====> Acc@1 71.822 Acc@5 97.924
sparsity 108 ====> 52.10% || num_zero/num_total: 445842/855770
valid 108 ====> Acc@1 66.080 Acc@5 97.090
train 109 ====> Acc@1 72.166 Acc@5 98.150
sparsity 109 ====> 52.10% || num_zero/num_total: 445842/855770
valid 109 ====> Acc@1 64.840 Acc@5 96.100
train 110 ====> Acc@1 72.486 Acc@5 98.084
sparsity 110 ====> 52.10% || num_zero/num_total: 445842/855770
valid 110 ====> Acc@1 69.100 Acc@5 97.870
train 111 ====> Acc@1 72.896 Acc@5 98.202
sparsity 111 ====> 52.05% || num_zero/num_total: 445410/855770
valid 111 ====> Acc@1 70.880 Acc@5 97.880
train 112 ====> Acc@1 72.928 Acc@5 98.182
sparsity 112 ====> 52.05% || num_zero/num_total: 445410/855770
valid 112 ====> Acc@1 64.790 Acc@5 97.120
train 113 ====> Acc@1 73.412 Acc@5 98.276
sparsity 113 ====> 52.05% || num_zero/num_total: 445410/855770
valid 113 ====> Acc@1 65.320 Acc@5 96.430
train 114 ====> Acc@1 73.258 Acc@5 98.252
sparsity 114 ====> 52.05% || num_zero/num_total: 445410/855770
valid 114 ====> Acc@1 70.850 Acc@5 97.930
train 115 ====> Acc@1 73.980 Acc@5 98.232
sparsity 115 ====> 52.05% || num_zero/num_total: 445410/855770
valid 115 ====> Acc@1 67.750 Acc@5 97.770
train 116 ====> Acc@1 74.200 Acc@5 98.350
sparsity 116 ====> 52.05% || num_zero/num_total: 445410/855770
valid 116 ====> Acc@1 67.420 Acc@5 97.850
train 117 ====> Acc@1 74.712 Acc@5 98.358
sparsity 117 ====> 52.05% || num_zero/num_total: 445410/855770
valid 117 ====> Acc@1 69.740 Acc@5 97.790
train 118 ====> Acc@1 74.848 Acc@5 98.420
sparsity 118 ====> 52.05% || num_zero/num_total: 445410/855770
valid 118 ====> Acc@1 70.400 Acc@5 97.380
train 119 ====> Acc@1 74.794 Acc@5 98.406
sparsity 119 ====> 52.05% || num_zero/num_total: 445410/855770
valid 119 ====> Acc@1 64.800 Acc@5 96.720
train 120 ====> Acc@1 75.080 Acc@5 98.434
sparsity 120 ====> 52.05% || num_zero/num_total: 445410/855770
valid 120 ====> Acc@1 69.830 Acc@5 97.980
train 121 ====> Acc@1 75.594 Acc@5 98.504
sparsity 121 ====> 52.05% || num_zero/num_total: 445410/855770
valid 121 ====> Acc@1 65.970 Acc@5 97.680
train 122 ====> Acc@1 76.116 Acc@5 98.450
sparsity 122 ====> 52.05% || num_zero/num_total: 445410/855770
valid 122 ====> Acc@1 70.710 Acc@5 98.050
train 123 ====> Acc@1 76.060 Acc@5 98.574
sparsity 123 ====> 52.05% || num_zero/num_total: 445410/855770
valid 123 ====> Acc@1 68.000 Acc@5 97.140
train 124 ====> Acc@1 76.446 Acc@5 98.530
sparsity 124 ====> 52.05% || num_zero/num_total: 445410/855770
valid 124 ====> Acc@1 68.910 Acc@5 96.790
train 125 ====> Acc@1 76.852 Acc@5 98.646
sparsity 125 ====> 52.05% || num_zero/num_total: 445410/855770
valid 125 ====> Acc@1 73.480 Acc@5 97.980
train 126 ====> Acc@1 76.978 Acc@5 98.646
sparsity 126 ====> 52.05% || num_zero/num_total: 445410/855770
valid 126 ====> Acc@1 73.440 Acc@5 98.350
train 127 ====> Acc@1 76.864 Acc@5 98.632
sparsity 127 ====> 51.96% || num_zero/num_total: 444690/855770
valid 127 ====> Acc@1 66.140 Acc@5 96.980
train 128 ====> Acc@1 77.304 Acc@5 98.668
sparsity 128 ====> 51.96% || num_zero/num_total: 444690/855770
valid 128 ====> Acc@1 69.680 Acc@5 97.620
train 129 ====> Acc@1 77.620 Acc@5 98.706
sparsity 129 ====> 51.96% || num_zero/num_total: 444690/855770
valid 129 ====> Acc@1 74.730 Acc@5 97.920
train 130 ====> Acc@1 78.100 Acc@5 98.738
sparsity 130 ====> 51.96% || num_zero/num_total: 444690/855770
valid 130 ====> Acc@1 71.330 Acc@5 97.700
train 131 ====> Acc@1 78.052 Acc@5 98.762
sparsity 131 ====> 52.01% || num_zero/num_total: 445122/855770
valid 131 ====> Acc@1 74.450 Acc@5 98.230
train 132 ====> Acc@1 78.182 Acc@5 98.764
sparsity 132 ====> 52.01% || num_zero/num_total: 445122/855770
valid 132 ====> Acc@1 70.190 Acc@5 97.680
train 133 ====> Acc@1 78.788 Acc@5 98.804
sparsity 133 ====> 52.01% || num_zero/num_total: 445122/855770
valid 133 ====> Acc@1 69.760 Acc@5 98.040
train 134 ====> Acc@1 78.848 Acc@5 98.826
sparsity 134 ====> 52.01% || num_zero/num_total: 445122/855770
valid 134 ====> Acc@1 75.170 Acc@5 98.520
train 135 ====> Acc@1 79.174 Acc@5 98.786
sparsity 135 ====> 52.01% || num_zero/num_total: 445122/855770
valid 135 ====> Acc@1 74.590 Acc@5 98.180
train 136 ====> Acc@1 79.156 Acc@5 98.932
sparsity 136 ====> 52.12% || num_zero/num_total: 445986/855770
valid 136 ====> Acc@1 66.990 Acc@5 96.780
train 137 ====> Acc@1 79.356 Acc@5 98.882
sparsity 137 ====> 52.12% || num_zero/num_total: 445986/855770
valid 137 ====> Acc@1 76.580 Acc@5 98.390
train 138 ====> Acc@1 79.704 Acc@5 98.884
sparsity 138 ====> 52.12% || num_zero/num_total: 445986/855770
valid 138 ====> Acc@1 75.630 Acc@5 98.580
train 139 ====> Acc@1 79.922 Acc@5 98.952
sparsity 139 ====> 52.12% || num_zero/num_total: 445986/855770
valid 139 ====> Acc@1 73.880 Acc@5 98.480
train 140 ====> Acc@1 79.766 Acc@5 98.928
sparsity 140 ====> 52.06% || num_zero/num_total: 445554/855770
valid 140 ====> Acc@1 76.790 Acc@5 98.630
train 141 ====> Acc@1 79.920 Acc@5 98.938
sparsity 141 ====> 52.06% || num_zero/num_total: 445554/855770
valid 141 ====> Acc@1 75.460 Acc@5 98.220
train 142 ====> Acc@1 80.090 Acc@5 99.036
sparsity 142 ====> 52.06% || num_zero/num_total: 445554/855770
valid 142 ====> Acc@1 75.640 Acc@5 98.510
train 143 ====> Acc@1 80.254 Acc@5 99.002
sparsity 143 ====> 52.06% || num_zero/num_total: 445554/855770
valid 143 ====> Acc@1 77.730 Acc@5 98.680
train 144 ====> Acc@1 80.532 Acc@5 99.034
sparsity 144 ====> 52.06% || num_zero/num_total: 445554/855770
valid 144 ====> Acc@1 74.880 Acc@5 98.460
train 145 ====> Acc@1 80.486 Acc@5 98.994
sparsity 145 ====> 52.06% || num_zero/num_total: 445554/855770
valid 145 ====> Acc@1 69.010 Acc@5 97.420
train 146 ====> Acc@1 80.632 Acc@5 99.006
sparsity 146 ====> 52.06% || num_zero/num_total: 445554/855770
valid 146 ====> Acc@1 74.040 Acc@5 98.140
train 147 ====> Acc@1 80.862 Acc@5 99.044
sparsity 147 ====> 52.01% || num_zero/num_total: 445122/855770
valid 147 ====> Acc@1 75.870 Acc@5 98.600
train 148 ====> Acc@1 81.202 Acc@5 99.030
sparsity 148 ====> 52.06% || num_zero/num_total: 445554/855770
valid 148 ====> Acc@1 71.520 Acc@5 97.670
train 149 ====> Acc@1 81.244 Acc@5 99.070
sparsity 149 ====> 52.06% || num_zero/num_total: 445554/855770
valid 149 ====> Acc@1 71.830 Acc@5 97.650
train 150 ====> Acc@1 81.454 Acc@5 99.082
sparsity 150 ====> 52.06% || num_zero/num_total: 445554/855770
valid 150 ====> Acc@1 75.310 Acc@5 98.260
train 151 ====> Acc@1 81.256 Acc@5 99.062
sparsity 151 ====> 52.06% || num_zero/num_total: 445554/855770
valid 151 ====> Acc@1 68.590 Acc@5 98.390
train 152 ====> Acc@1 81.460 Acc@5 99.132
sparsity 152 ====> 52.06% || num_zero/num_total: 445554/855770
valid 152 ====> Acc@1 75.540 Acc@5 98.160
train 153 ====> Acc@1 81.592 Acc@5 99.110
sparsity 153 ====> 52.06% || num_zero/num_total: 445554/855770
valid 153 ====> Acc@1 74.620 Acc@5 98.360
train 154 ====> Acc@1 81.664 Acc@5 99.128
sparsity 154 ====> 52.06% || num_zero/num_total: 445554/855770
valid 154 ====> Acc@1 75.320 Acc@5 98.480
train 155 ====> Acc@1 81.850 Acc@5 99.118
sparsity 155 ====> 52.06% || num_zero/num_total: 445554/855770
valid 155 ====> Acc@1 74.280 Acc@5 98.310
train 156 ====> Acc@1 81.768 Acc@5 99.178
sparsity 156 ====> 52.06% || num_zero/num_total: 445554/855770
valid 156 ====> Acc@1 70.970 Acc@5 97.460
train 157 ====> Acc@1 81.940 Acc@5 99.138
sparsity 157 ====> 52.06% || num_zero/num_total: 445554/855770
valid 157 ====> Acc@1 77.510 Acc@5 98.490
train 158 ====> Acc@1 82.178 Acc@5 99.166
sparsity 158 ====> 52.06% || num_zero/num_total: 445554/855770
valid 158 ====> Acc@1 75.560 Acc@5 98.420
train 159 ====> Acc@1 82.320 Acc@5 99.158
