Files already downloaded and verified
Files already downloaded and verified
prune rate 0.9 regularization odecay 0.6
valid 87 ====> Acc@1 84.420 Acc@5 99.160
train 88 ====> Acc@1 95.678 Acc@5 99.972
valid 88 ====> Acc@1 85.370 Acc@5 99.390
train 89 ====> Acc@1 95.610 Acc@5 99.972
valid 89 ====> Acc@1 83.900 Acc@5 99.070
train 90 ====> Acc@1 96.134 Acc@5 99.988
valid 90 ====> Acc@1 83.950 Acc@5 99.300
train 91 ====> Acc@1 96.058 Acc@5 99.978
valid 91 ====> Acc@1 83.950 Acc@5 99.320
train 92 ====> Acc@1 95.656 Acc@5 99.974
valid 92 ====> Acc@1 81.930 Acc@5 99.170
train 93 ====> Acc@1 95.894 Acc@5 99.972
valid 93 ====> Acc@1 84.310 Acc@5 99.430
train 94 ====> Acc@1 95.846 Acc@5 99.982
valid 94 ====> Acc@1 84.910 Acc@5 99.370
train 95 ====> Acc@1 95.788 Acc@5 99.976
valid 95 ====> Acc@1 83.320 Acc@5 98.710
train 96 ====> Acc@1 95.948 Acc@5 99.980
valid 96 ====> Acc@1 84.950 Acc@5 99.390
train 97 ====> Acc@1 95.514 Acc@5 99.964
valid 97 ====> Acc@1 82.960 Acc@5 99.340
train 98 ====> Acc@1 96.144 Acc@5 99.982
valid 98 ====> Acc@1 84.930 Acc@5 99.260
train 99 ====> Acc@1 95.954 Acc@5 99.968
valid 99 ====> Acc@1 84.630 Acc@5 99.400
train 100 ====> Acc@1 95.998 Acc@5 99.978
valid 100 ====> Acc@1 83.670 Acc@5 98.820
train 101 ====> Acc@1 95.622 Acc@5 99.972
valid 101 ====> Acc@1 85.210 Acc@5 99.340
train 102 ====> Acc@1 96.196 Acc@5 99.982
valid 102 ====> Acc@1 82.970 Acc@5 99.120
train 103 ====> Acc@1 96.274 Acc@5 99.980
valid 103 ====> Acc@1 82.700 Acc@5 98.900
train 104 ====> Acc@1 96.206 Acc@5 99.978
valid 104 ====> Acc@1 83.910 Acc@5 98.920
train 105 ====> Acc@1 95.886 Acc@5 99.990
valid 105 ====> Acc@1 86.910 Acc@5 99.470
train 106 ====> Acc@1 96.212 Acc@5 99.974
valid 106 ====> Acc@1 85.100 Acc@5 99.280
train 107 ====> Acc@1 96.018 Acc@5 99.986
valid 107 ====> Acc@1 85.980 Acc@5 99.230
train 108 ====> Acc@1 96.092 Acc@5 99.984
valid 108 ====> Acc@1 83.540 Acc@5 98.770
train 109 ====> Acc@1 95.948 Acc@5 99.978
valid 109 ====> Acc@1 84.080 Acc@5 99.150
train 110 ====> Acc@1 96.298 Acc@5 99.986
valid 110 ====> Acc@1 82.840 Acc@5 99.180
train 111 ====> Acc@1 95.760 Acc@5 99.976
valid 111 ====> Acc@1 84.830 Acc@5 99.080
train 112 ====> Acc@1 96.290 Acc@5 99.986
valid 112 ====> Acc@1 84.700 Acc@5 99.000
train 113 ====> Acc@1 96.170 Acc@5 99.984
valid 113 ====> Acc@1 85.180 Acc@5 99.290
train 114 ====> Acc@1 96.268 Acc@5 99.972
valid 114 ====> Acc@1 86.220 Acc@5 99.340
train 115 ====> Acc@1 95.568 Acc@5 99.974
valid 115 ====> Acc@1 81.040 Acc@5 99.070
train 116 ====> Acc@1 96.140 Acc@5 99.988
valid 116 ====> Acc@1 85.880 Acc@5 99.330
train 117 ====> Acc@1 96.182 Acc@5 99.984
valid 117 ====> Acc@1 81.960 Acc@5 99.360
train 118 ====> Acc@1 96.086 Acc@5 99.964
valid 118 ====> Acc@1 83.580 Acc@5 99.000
train 119 ====> Acc@1 96.276 Acc@5 99.984
valid 119 ====> Acc@1 86.290 Acc@5 99.100
train 120 ====> Acc@1 96.086 Acc@5 99.986
valid 120 ====> Acc@1 81.500 Acc@5 98.380
train 121 ====> Acc@1 96.034 Acc@5 99.968
valid 121 ====> Acc@1 86.500 Acc@5 99.260
train 122 ====> Acc@1 96.370 Acc@5 99.988
valid 122 ====> Acc@1 85.810 Acc@5 99.130
train 123 ====> Acc@1 95.984 Acc@5 99.986
valid 123 ====> Acc@1 84.110 Acc@5 99.240
train 124 ====> Acc@1 96.100 Acc@5 99.978
valid 124 ====> Acc@1 86.710 Acc@5 99.220
train 125 ====> Acc@1 95.898 Acc@5 99.978
valid 125 ====> Acc@1 84.830 Acc@5 99.340
train 126 ====> Acc@1 96.414 Acc@5 99.994
valid 126 ====> Acc@1 84.200 Acc@5 98.710
train 127 ====> Acc@1 96.118 Acc@5 99.978
valid 127 ====> Acc@1 85.820 Acc@5 99.240
train 128 ====> Acc@1 96.336 Acc@5 99.984
valid 128 ====> Acc@1 85.480 Acc@5 99.310
train 129 ====> Acc@1 96.056 Acc@5 99.984
valid 129 ====> Acc@1 84.820 Acc@5 99.310
train 130 ====> Acc@1 96.374 Acc@5 99.980
valid 130 ====> Acc@1 84.960 Acc@5 99.250
train 131 ====> Acc@1 95.756 Acc@5 99.954
valid 131 ====> Acc@1 82.350 Acc@5 99.280
train 132 ====> Acc@1 96.424 Acc@5 99.988
valid 132 ====> Acc@1 84.920 Acc@5 99.040
train 133 ====> Acc@1 96.452 Acc@5 99.988
valid 133 ====> Acc@1 87.090 Acc@5 99.420
train 134 ====> Acc@1 96.454 Acc@5 99.978
valid 134 ====> Acc@1 86.050 Acc@5 99.350
train 135 ====> Acc@1 96.210 Acc@5 99.984
valid 135 ====> Acc@1 85.790 Acc@5 99.450
train 136 ====> Acc@1 96.538 Acc@5 99.990
valid 136 ====> Acc@1 85.810 Acc@5 99.410
train 137 ====> Acc@1 96.044 Acc@5 99.982
valid 137 ====> Acc@1 86.180 Acc@5 99.430
train 138 ====> Acc@1 96.372 Acc@5 99.986
valid 138 ====> Acc@1 79.550 Acc@5 96.610
train 139 ====> Acc@1 96.536 Acc@5 99.978
valid 139 ====> Acc@1 84.790 Acc@5 99.410
train 140 ====> Acc@1 96.346 Acc@5 99.982
valid 140 ====> Acc@1 83.460 Acc@5 99.130
train 141 ====> Acc@1 96.188 Acc@5 99.984
valid 141 ====> Acc@1 86.000 Acc@5 99.400
train 142 ====> Acc@1 96.430 Acc@5 99.976
valid 142 ====> Acc@1 86.220 Acc@5 99.310
train 143 ====> Acc@1 95.830 Acc@5 99.976
valid 143 ====> Acc@1 80.920 Acc@5 98.850
train 144 ====> Acc@1 96.396 Acc@5 99.986
valid 144 ====> Acc@1 85.860 Acc@5 99.270
train 145 ====> Acc@1 96.482 Acc@5 99.982
valid 145 ====> Acc@1 84.620 Acc@5 99.140
train 146 ====> Acc@1 96.016 Acc@5 99.974
valid 146 ====> Acc@1 82.380 Acc@5 99.090
train 147 ====> Acc@1 96.292 Acc@5 99.980
valid 147 ====> Acc@1 84.280 Acc@5 99.190
train 148 ====> Acc@1 96.490 Acc@5 99.988
valid 148 ====> Acc@1 85.160 Acc@5 98.890
train 149 ====> Acc@1 96.298 Acc@5 99.980
valid 149 ====> Acc@1 86.920 Acc@5 99.400
train 150 ====> Acc@1 96.364 Acc@5 99.984
valid 150 ====> Acc@1 84.880 Acc@5 99.060
train 151 ====> Acc@1 96.316 Acc@5 99.974
valid 151 ====> Acc@1 87.310 Acc@5 99.410
train 152 ====> Acc@1 96.536 Acc@5 99.978
valid 152 ====> Acc@1 86.200 Acc@5 99.360
train 153 ====> Acc@1 96.514 Acc@5 99.982
valid 153 ====> Acc@1 85.230 Acc@5 99.320
train 154 ====> Acc@1 96.440 Acc@5 99.988
valid 154 ====> Acc@1 85.990 Acc@5 99.160
train 155 ====> Acc@1 96.276 Acc@5 99.994
valid 155 ====> Acc@1 82.640 Acc@5 99.200
train 156 ====> Acc@1 96.278 Acc@5 99.992
valid 156 ====> Acc@1 84.150 Acc@5 99.200
train 157 ====> Acc@1 96.512 Acc@5 99.990
valid 157 ====> Acc@1 85.970 Acc@5 99.370
train 158 ====> Acc@1 96.352 Acc@5 99.982
valid 158 ====> Acc@1 86.520 Acc@5 99.260
train 159 ====> Acc@1 96.630 Acc@5 99.996
valid 159 ====> Acc@1 84.670 Acc@5 99.220
train 160 ====> Acc@1 96.346 Acc@5 99.976
valid 160 ====> Acc@1 83.950 Acc@5 99.300
train 161 ====> Acc@1 96.356 Acc@5 99.976
valid 161 ====> Acc@1 86.170 Acc@5 98.950
train 162 ====> Acc@1 96.520 Acc@5 99.982
valid 162 ====> Acc@1 86.660 Acc@5 99.420
train 163 ====> Acc@1 96.624 Acc@5 99.984
valid 163 ====> Acc@1 85.140 Acc@5 99.310
train 164 ====> Acc@1 95.970 Acc@5 99.964
valid 164 ====> Acc@1 85.120 Acc@5 99.090
train 165 ====> Acc@1 96.582 Acc@5 99.992
valid 165 ====> Acc@1 86.530 Acc@5 99.440
train 166 ====> Acc@1 96.424 Acc@5 99.980
valid 166 ====> Acc@1 86.710 Acc@5 99.490
train 167 ====> Acc@1 96.566 Acc@5 99.994
valid 167 ====> Acc@1 85.690 Acc@5 99.450
train 168 ====> Acc@1 96.100 Acc@5 99.984
valid 168 ====> Acc@1 86.910 Acc@5 99.400
train 169 ====> Acc@1 96.322 Acc@5 99.982
valid 169 ====> Acc@1 86.590 Acc@5 99.350
train 170 ====> Acc@1 96.292 Acc@5 99.990
valid 170 ====> Acc@1 86.510 Acc@5 99.350
train 171 ====> Acc@1 96.450 Acc@5 99.978
valid 171 ====> Acc@1 85.810 Acc@5 99.270
train 172 ====> Acc@1 96.814 Acc@5 99.982
valid 172 ====> Acc@1 85.490 Acc@5 99.300
train 173 ====> Acc@1 96.272 Acc@5 99.980
valid 173 ====> Acc@1 83.400 Acc@5 99.460
train 174 ====> Acc@1 96.440 Acc@5 99.988
valid 174 ====> Acc@1 86.720 Acc@5 99.170
train 175 ====> Acc@1 96.634 Acc@5 99.996
valid 175 ====> Acc@1 84.720 Acc@5 98.870
train 176 ====> Acc@1 96.304 Acc@5 99.980
valid 176 ====> Acc@1 87.540 Acc@5 99.370
train 177 ====> Acc@1 96.464 Acc@5 99.982
valid 177 ====> Acc@1 85.620 Acc@5 99.080
train 178 ====> Acc@1 96.410 Acc@5 99.986
valid 178 ====> Acc@1 85.720 Acc@5 99.410
train 179 ====> Acc@1 96.238 Acc@5 99.978
valid 179 ====> Acc@1 83.400 Acc@5 98.710
train 180 ====> Acc@1 96.552 Acc@5 99.986
valid 180 ====> Acc@1 84.070 Acc@5 99.420
train 181 ====> Acc@1 96.538 Acc@5 99.980
valid 181 ====> Acc@1 84.110 Acc@5 99.220
train 182 ====> Acc@1 96.474 Acc@5 99.996
valid 182 ====> Acc@1 86.270 Acc@5 99.470
train 183 ====> Acc@1 96.672 Acc@5 99.984
valid 183 ====> Acc@1 84.520 Acc@5 99.230
train 184 ====> Acc@1 96.528 Acc@5 99.986
valid 184 ====> Acc@1 85.470 Acc@5 99.090
train 185 ====> Acc@1 96.366 Acc@5 99.988
valid 185 ====> Acc@1 86.600 Acc@5 99.260
train 186 ====> Acc@1 96.814 Acc@5 99.990
valid 186 ====> Acc@1 84.710 Acc@5 99.180
train 187 ====> Acc@1 96.470 Acc@5 99.990
valid 187 ====> Acc@1 84.710 Acc@5 99.330
train 188 ====> Acc@1 96.386 Acc@5 99.984
valid 188 ====> Acc@1 87.960 Acc@5 99.490
train 189 ====> Acc@1 96.880 Acc@5 99.988
valid 189 ====> Acc@1 86.180 Acc@5 99.390
train 190 ====> Acc@1 96.566 Acc@5 99.982
valid 190 ====> Acc@1 86.820 Acc@5 99.260
train 191 ====> Acc@1 96.430 Acc@5 99.988
valid 191 ====> Acc@1 85.410 Acc@5 99.420
train 192 ====> Acc@1 96.792 Acc@5 99.988
valid 192 ====> Acc@1 83.300 Acc@5 98.730
train 193 ====> Acc@1 96.606 Acc@5 99.990
valid 193 ====> Acc@1 86.070 Acc@5 99.570
train 194 ====> Acc@1 96.882 Acc@5 99.990
valid 194 ====> Acc@1 86.100 Acc@5 99.400
train 195 ====> Acc@1 96.640 Acc@5 99.990
valid 195 ====> Acc@1 84.790 Acc@5 99.180
train 196 ====> Acc@1 96.894 Acc@5 99.986
valid 196 ====> Acc@1 86.610 Acc@5 99.060
train 197 ====> Acc@1 96.382 Acc@5 99.992
valid 197 ====> Acc@1 82.130 Acc@5 99.160
train 198 ====> Acc@1 96.454 Acc@5 99.988
valid 198 ====> Acc@1 81.490 Acc@5 99.170
train 199 ====> Acc@1 96.648 Acc@5 99.982
valid 199 ====> Acc@1 87.010 Acc@5 99.570
train 200 ====> Acc@1 96.248 Acc@5 99.982
valid 200 ====> Acc@1 85.250 Acc@5 99.500
train 201 ====> Acc@1 96.626 Acc@5 99.984
valid 201 ====> Acc@1 87.070 Acc@5 99.350
