Files already downloaded and verified
Files already downloaded and verified
prune rate 0.5 regularization odecay 1
sparsity 50 ====> 51.75% || num_zero/num_total: 442829/855770
valid 50 ====> Acc@1 50.600 Acc@5 93.090
train 51 ====> Acc@1 57.532 Acc@5 95.448
sparsity 51 ====> 51.75% || num_zero/num_total: 442829/855770
valid 51 ====> Acc@1 46.790 Acc@5 92.700
train 52 ====> Acc@1 57.700 Acc@5 95.340
sparsity 52 ====> 51.75% || num_zero/num_total: 442829/855770
valid 52 ====> Acc@1 52.540 Acc@5 94.060
train 53 ====> Acc@1 58.102 Acc@5 95.458
sparsity 53 ====> 51.78% || num_zero/num_total: 443117/855770
valid 53 ====> Acc@1 57.300 Acc@5 95.280
train 54 ====> Acc@1 58.746 Acc@5 95.628
sparsity 54 ====> 51.73% || num_zero/num_total: 442685/855770
valid 54 ====> Acc@1 49.290 Acc@5 92.990
train 55 ====> Acc@1 58.488 Acc@5 95.604
sparsity 55 ====> 51.73% || num_zero/num_total: 442685/855770
valid 55 ====> Acc@1 55.900 Acc@5 95.350
train 56 ====> Acc@1 59.014 Acc@5 95.812
sparsity 56 ====> 51.73% || num_zero/num_total: 442685/855770
valid 56 ====> Acc@1 55.940 Acc@5 94.640
train 57 ====> Acc@1 59.558 Acc@5 95.784
sparsity 57 ====> 51.73% || num_zero/num_total: 442685/855770
valid 57 ====> Acc@1 56.840 Acc@5 95.610
train 58 ====> Acc@1 59.416 Acc@5 95.882
sparsity 58 ====> 52.23% || num_zero/num_total: 447005/855770
valid 58 ====> Acc@1 54.890 Acc@5 93.880
train 59 ====> Acc@1 59.644 Acc@5 95.702
sparsity 59 ====> 52.23% || num_zero/num_total: 447005/855770
valid 59 ====> Acc@1 52.740 Acc@5 94.110
train 60 ====> Acc@1 59.960 Acc@5 95.934
sparsity 60 ====> 52.18% || num_zero/num_total: 446573/855770
valid 60 ====> Acc@1 54.090 Acc@5 94.160
train 61 ====> Acc@1 60.070 Acc@5 95.990
sparsity 61 ====> 52.18% || num_zero/num_total: 446573/855770
valid 61 ====> Acc@1 55.360 Acc@5 95.060
train 62 ====> Acc@1 60.244 Acc@5 96.032
sparsity 62 ====> 52.15% || num_zero/num_total: 446285/855770
valid 62 ====> Acc@1 54.100 Acc@5 93.860
train 63 ====> Acc@1 60.784 Acc@5 96.020
sparsity 63 ====> 52.10% || num_zero/num_total: 445853/855770
valid 63 ====> Acc@1 55.790 Acc@5 95.400
train 64 ====> Acc@1 61.116 Acc@5 96.178
sparsity 64 ====> 52.10% || num_zero/num_total: 445853/855770
valid 64 ====> Acc@1 54.530 Acc@5 95.070
train 65 ====> Acc@1 61.526 Acc@5 96.350
sparsity 65 ====> 52.10% || num_zero/num_total: 445853/855770
valid 65 ====> Acc@1 55.740 Acc@5 95.730
train 66 ====> Acc@1 61.884 Acc@5 96.368
sparsity 66 ====> 52.10% || num_zero/num_total: 445853/855770
valid 66 ====> Acc@1 60.540 Acc@5 96.260
train 67 ====> Acc@1 62.688 Acc@5 96.482
sparsity 67 ====> 52.07% || num_zero/num_total: 445565/855770
valid 67 ====> Acc@1 56.260 Acc@5 93.100
train 68 ====> Acc@1 62.782 Acc@5 96.552
sparsity 68 ====> 52.10% || num_zero/num_total: 445853/855770
valid 68 ====> Acc@1 58.240 Acc@5 95.170
train 69 ====> Acc@1 63.288 Acc@5 96.622
sparsity 69 ====> 52.10% || num_zero/num_total: 445853/855770
