Files already downloaded and verified
Files already downloaded and verified
prune rate 0.5 regularization odecay 0.8
valid 81 ====> Acc@1 55.030 Acc@5 94.350
train 82 ====> Acc@1 67.350 Acc@5 97.208
sparsity 82 ====> 50.46% || num_zero/num_total: 431859/855770
valid 82 ====> Acc@1 52.160 Acc@5 94.730
train 83 ====> Acc@1 66.944 Acc@5 97.042
sparsity 83 ====> 50.46% || num_zero/num_total: 431859/855770
valid 83 ====> Acc@1 65.610 Acc@5 97.000
train 84 ====> Acc@1 67.900 Acc@5 97.266
sparsity 84 ====> 50.46% || num_zero/num_total: 431859/855770
valid 84 ====> Acc@1 56.680 Acc@5 94.850
train 85 ====> Acc@1 68.460 Acc@5 97.396
sparsity 85 ====> 50.41% || num_zero/num_total: 431427/855770
valid 85 ====> Acc@1 62.210 Acc@5 96.300
train 86 ====> Acc@1 68.464 Acc@5 97.366
sparsity 86 ====> 50.36% || num_zero/num_total: 430995/855770
valid 86 ====> Acc@1 58.220 Acc@5 96.070
train 87 ====> Acc@1 68.748 Acc@5 97.624
sparsity 87 ====> 50.41% || num_zero/num_total: 431427/855770
valid 87 ====> Acc@1 45.210 Acc@5 91.870
train 88 ====> Acc@1 69.094 Acc@5 97.456
sparsity 88 ====> 50.38% || num_zero/num_total: 431139/855770
valid 88 ====> Acc@1 64.270 Acc@5 97.040
train 89 ====> Acc@1 69.472 Acc@5 97.626
sparsity 89 ====> 50.38% || num_zero/num_total: 431139/855770
valid 89 ====> Acc@1 59.250 Acc@5 93.550
train 90 ====> Acc@1 69.956 Acc@5 97.670
sparsity 90 ====> 50.38% || num_zero/num_total: 431139/855770
valid 90 ====> Acc@1 66.290 Acc@5 97.360
train 91 ====> Acc@1 70.264 Acc@5 97.722
sparsity 91 ====> 50.38% || num_zero/num_total: 431139/855770
valid 91 ====> Acc@1 56.070 Acc@5 93.290
train 92 ====> Acc@1 70.714 Acc@5 97.738
sparsity 92 ====> 50.38% || num_zero/num_total: 431139/855770
valid 92 ====> Acc@1 65.170 Acc@5 96.600
train 93 ====> Acc@1 70.816 Acc@5 97.692
sparsity 93 ====> 50.38% || num_zero/num_total: 431139/855770
valid 93 ====> Acc@1 48.160 Acc@5 91.850
train 94 ====> Acc@1 71.284 Acc@5 97.878
sparsity 94 ====> 50.38% || num_zero/num_total: 431139/855770
valid 94 ====> Acc@1 59.820 Acc@5 95.020
train 95 ====> Acc@1 71.658 Acc@5 97.926
sparsity 95 ====> 50.38% || num_zero/num_total: 431139/855770
valid 95 ====> Acc@1 57.900 Acc@5 95.050
train 96 ====> Acc@1 72.494 Acc@5 98.004
sparsity 96 ====> 50.38% || num_zero/num_total: 431139/855770
valid 96 ====> Acc@1 64.540 Acc@5 97.520
train 97 ====> Acc@1 72.288 Acc@5 97.974
sparsity 97 ====> 50.38% || num_zero/num_total: 431139/855770
valid 97 ====> Acc@1 66.830 Acc@5 97.320
train 98 ====> Acc@1 72.796 Acc@5 98.058
sparsity 98 ====> 50.35% || num_zero/num_total: 430851/855770
valid 98 ====> Acc@1 56.860 Acc@5 94.130
train 99 ====> Acc@1 72.990 Acc@5 98.168
sparsity 99 ====> 50.35% || num_zero/num_total: 430851/855770
valid 99 ====> Acc@1 69.890 Acc@5 97.880
train 100 ====> Acc@1 73.170 Acc@5 98.204
sparsity 100 ====> 50.35% || num_zero/num_total: 430851/855770
valid 100 ====> Acc@1 64.340 Acc@5 97.230
train 101 ====> Acc@1 73.686 Acc@5 98.276
sparsity 101 ====> 50.35% || num_zero/num_total: 430851/855770
valid 101 ====> Acc@1 70.290 Acc@5 97.900
train 102 ====> Acc@1 73.926 Acc@5 98.284
sparsity 102 ====> 50.35% || num_zero/num_total: 430851/855770
valid 102 ====> Acc@1 65.430 Acc@5 97.100
train 103 ====> Acc@1 73.984 Acc@5 98.242
sparsity 103 ====> 50.35% || num_zero/num_total: 430851/855770
valid 103 ====> Acc@1 65.500 Acc@5 97.080
train 104 ====> Acc@1 74.562 Acc@5 98.354
sparsity 104 ====> 50.35% || num_zero/num_total: 430851/855770
valid 104 ====> Acc@1 68.000 Acc@5 97.340
train 105 ====> Acc@1 74.808 Acc@5 98.326
sparsity 105 ====> 50.30% || num_zero/num_total: 430419/855770
valid 105 ====> Acc@1 65.760 Acc@5 95.960
train 106 ====> Acc@1 75.118 Acc@5 98.418
sparsity 106 ====> 50.35% || num_zero/num_total: 430851/855770
valid 106 ====> Acc@1 67.630 Acc@5 97.600
train 107 ====> Acc@1 75.340 Acc@5 98.356
sparsity 107 ====> 50.35% || num_zero/num_total: 430851/855770
valid 107 ====> Acc@1 69.870 Acc@5 97.550
train 108 ====> Acc@1 75.212 Acc@5 98.428
sparsity 108 ====> 50.35% || num_zero/num_total: 430851/855770
valid 108 ====> Acc@1 67.720 Acc@5 97.370
train 109 ====> Acc@1 76.008 Acc@5 98.532
